,Cards,Payback,Airport and Railway Lounge Access ,Culinary,BookMyShow,Inox,Chip and Pin Security,Savings on Fuel Transactions,Hotel Offers from Visa,Hotel Offers from Mastercard,Complimentary rounds of golf every month,Concierge Services,Insurance,Dreamfolks Membership Programme,Manchester United Benefits,Annual Savings,Automobile Associated Privileges
75,ICICI Bank HPCL Super Saver Credit Card,Earn 2 PAYBACK Points on every Rs 100 spent on all retail purchases.,,,,,The new chip cards have an extra layer of security in the form of a Personal Identification Number (PIN),You also get an additional 1.5% back (in reward points) on all fuel purchases through the HP Pay app at HPCL outlets.,,,,,,,,,"On site Roadside repair – If your vehicle gets immobilized due to a Flat Tyre, Dead battery, minor fuse problem etc., arrangements shall be made by Allianz Partners to mobilize & assist the vehicle, if the problem still persists or requires major repairs the vehicle will be safely towed to the nearest authorized OEM workshop."
76,ICICI Bank HPCL Super Saver Credit Card,"Your ICICI Bank Credit Card entitles you to earn PAYBACK points on your transactions. PAYBACK, India’s largest Reward Programme, has powered ICICI Bank Rewards to bring you a range of exciting rewards from your everyday spending.",,,,,You will be required to enter your PIN on the terminal for transactions at merchant outlets,,,,,,,,,,"Towing of vehicle – If your vehicle gets immobilized due to Electrical Issues, Wrong Fueling, Mechanical failure, Accident, etc. Partner shall arrange to have the vehicle safely towed to the nearest Authorized OEM Workshop."
77,ICICI Bank HPCL Super Saver Credit Card,"You not only earn PAYBACK points when you use your ICICI Bank Credit Card, but also earn additional points from the PAYBACK Partner Brands for the same purchase.",,,,,This PIN is not required for online transactions. Please register your card for 3D Secure (Verified by Visa/Mastercard Secure Code) on our website for online transactions.,,,,,,,,,,"Taxi Services – In case of a breakdown / accident, arrangements will be made for free travel of the vehicle occupants from the spot of immobilization by a taxi up to a maximum of 50 kms."
78,ICICI Bank HPCL Super Saver Credit Card,"Now you can swipe your PAYBACK membership card at select HPCL pumps to instantly redeem points for fuel at the pump itself! You earn fuel worth Rs 500 for every 2,000 PAYBACK Points.",,,,,,,,,,,,,,,"Customer conference calling – For seamless & speedy services, a conference call between the customer, the assistance provider and Partners will be arranged. The customer will be kept updated on a regular basis about the status of services."
79,ICICI Bank HPCL Super Saver Credit Card,"You can redeem your PAYBACK Points from many options at HPCL fuel pumps, movies, travel vouchers, lifestyle products, mobiles, appliances and more. With your ICICI Bank Credit Card and PAYBACK, shopping is truly rewarding!",,,,,,,,,,,,,,,"Custody Services: In case the customer is in a hurry and the towing vehicle will take time to arrive, then the customer shall be extended custody services for the vehicle, by Partners, through its service provider which shall relieve him so that the customer can carry on with his journey."
80,ICICI Bank HPCL Super Saver Credit Card,"This redemption option is available through PAYBACK Points. For Terms & Conditions and more details, please visit www.payback.in",,,,,,,,,,,,,,,"Fuel Delivery: In the event of immobilization due to an empty fuel tank, arrangements will be made for delivery of fuel up to a maximum of 5 litres on actuals."
81,ICICI Bank HPCL Super Saver Credit Card,*Customer can earn Rs 300 per month in the form of cashback and accelerated rewards across all categories.,,,,,,,,,,,,,,,Locked/Lost Key Benefit: In case of locked key /lost key arrangement will be made for retrieval of the spare key from the residence of the customer
82,ICICI Bank HPCL Super Saver Credit Card,- Fuel cashback of 5% comprises of 4% + 1% on fuel surcharge (4% cashback is capped at Rs 200 per month).,,,,,,,,,,,,,,,"Accommodation / Emergency Assistance – In the event that a customer’s vehicle is immobilized or meets with an accident while travelling out, Allianz Partners will help in organizing Hotel accommodation or emergency medical services near the location of the breakdown event."
83,ICICI Bank HPCL Super Saver Credit Card,"- 5% accelerated Reward points on categories such as departmental stores, electricity and mobile bills capped at Rs 100 worth PAYBACK points per month).",,,,,,,,,,,,,,,"Vehicle Repatriation – In case the car repair is going to take more than 2 days after it has been towed to an Authorized workshop then the customer may get his car repatriated back to his hometown for a distance of up to 100Kms and for places beyond 100kms, at a chargeable basis."
84,ICICI Bank HPCL Super Saver Credit Card,,,,,,,,,,,,,,,,Replacement / Courtesy Car: In case a vehicle is immobilized and the customer needs a replacement car for local mobility then a replacement vehicle of a higher category or the best available vehicle will be arranged at prevailing market rates.
85,ICICI Bank HPCL Super Saver Credit Card,,,,,,,,,,,,,,,,Customers will be eligible to avail the Roadside assistance on payment of joining fee.
86,ICICI Bank HPCL Super Saver Credit Card,,,,,,,,,,,,,,,,"On eligibility, your contact details will be sent to the provider, post which the provider will send a confirmation SMS on your registered mobile number with instructions for utilising the service."
87,ICICI Bank HPCL Super Saver Credit Card,,,,,,,,,,,,,,,,"After the first year, you shall be automatically registered for the second year on payment of annual fee. This service in the first year will be provided by Allianz Partners which may be subject to change every year."
,Accelero Credit Card,Earn up to 2 PAYBACK Points on every INR 100 spent on retail purchases. Your points are easily redeemable for premium automobile products and branded merchandise.,"Now enrich your travel experience with complimentary access to selected lounges at airports in India. To avail of the benefits, please present your Accelero ICICI Bank Credit Card at the lounge reception.",Exclusive dining offers through ICICI Bank Culinary Treats Programme,"Avail of 25% discount, maximum up to INR 100 on purchase of minimum two tickets per transaction.","Avail of 25% discount, maximum up to INR 100 on purchase of minimum two tickets per transaction.",Our Credit Cards come with an embedded microchip which provides additional security against counterfeiting and duplication of cards.,2.5% cashback* on your fuel purchases at HPCL petrol pumps per month can be availed when the Accelero ICICI Bank Credit Card is swiped. - *Capped at INR 200 per month,,,,,,,,,24X7 Toll Free Helpline – Partner shall provide Roadside Assistance services round the clock including public holidays and even guide you over phone with vehicle problem that our expert deems fit to be supported on phone.
,Accelero Credit Card,,"As a valued customer of the Accelero ICICI Bank Credit Card, you can now avail of 1 complimentary airport lounge access per quarter by spending INR 5,000 in a calendar quarter on your card to avail of this facility in the next calendar quarter",,,,The new Chip cards have an extra layer of security in the form of a Personal Identification Number (PIN).,1% fuel surcharge will not be applicable on fuel transactions on all petrol pumps when the Card is swiped.,,,,,,,,,"On site Roadside repair – If your vehicle gets immobilized due to a Flat Tyre, Dead battery, minor fuse problem etc., arrangements shall be made by Allianz Partners to mobilize & assist the vehicle, if the problem still persists or requires major repairs the vehicle will be safely towed to the nearest authorized OEM workshop."
,Accelero Credit Card,, Please click here to view the updated list of lounges,,,,You will be required to enter your PIN on the machine for transactions at merchant outlets.,,,,,,,,,,"Towing of vehicle – If your vehicle gets immobilized due to Electrical Issues, Wrong Fueling, Mechanical failure, Accident, etc. Partner shall arrange to have the vehicle safely towed to the nearest Authorized OEM Workshop."
,Accelero Credit Card,,,,,,,,,,,,,,,,"Taxi Services – In case of a breakdown / accident, arrangements will be made for free travel of the vehicle occupants from the spot of immobilization by a taxi up to a maximum of 50 kms."
,Accelero Credit Card,,,,,,,,,,,,,,,,"Customer conference calling – For seamless & speedy services, a conference call between the customer, the assistance provider and Partners will be arranged. The customer will be kept updated on a regular basis about the status of services."
,Accelero Credit Card,,,,,,,,,,,,,,,,"Custody Services: In case the customer is in a hurry and the towing vehicle will take time to arrive, then the customer shall be extended custody services for the vehicle, by Partners, through its service provider which shall relieve him so that the customer can carry on with his journey."
,Accelero Credit Card,,,,,,,,,,,,,,,,"Fuel Delivery: In the event of immobilization due to an empty fuel tank, arrangements will be made for delivery of fuel up to a maximum of 5 liters on actuals."
,Accelero Credit Card,,,,,,,,,,,,,,,,Locked/Lost Key Benefit: In case of locked key /lost key arrangement will be made for retrieval of the spare key from the residence of the customer
,Accelero Credit Card,,,,,,,,,,,,,,,,"Accommodation / Emergency Assistance – In the event that a customer’s vehicle is immobilized or meets with an accident while travelling out, Allianz Partners will help in organizing Hotel accommodation or emergency medical services near the location of the breakdown event."
,Accelero Credit Card,,,,,,,,,,,,,,,,"Vehicle Repatriation – In case the car repair is going to take more than 2 days after it has been towed to an Authorized workshop then the customer may get his car repatriated back to his hometown for a distance of up to 100Kms and for places beyond 100kms, at a chargeable basis."
,Accelero Credit Card,,,,,,,,,,,,,,,,Replacement / Courtesy Car: In case a vehicle is immobilized and the customer needs a replacement car for local mobility then a replacement vehicle of a higher category or the best available vehicle will be arranged at prevailing market rates.
